username,division,score,place,match_id
jialin,1,946.07,4,14431
pzy3303,2,1397.8,4,14431
RAD.,1,811.23,5,14431
littlekfc,2,1209.91,5,14431
argentony,1,1335.22,1,14524
lewha0,1,1318.55,2,14524
bolu,1,1265.76,3,14524
uwi,1,1263.08,4,14524
_sunny,1,1245.57,5,14524
Jedi_Knight,1,1242.71,1,14434
ZUCC.Fake,2,1326.22,1,14434
UdH-WiNGeR,1,1167.82,2,14434
ddimitrov_sh,2,1244.77,3,14434
Petr,1,1162.58,3,14434
zlly102232,2,1232.6,4,14434
rng_58,1,1107.99,4,14434
enzam,2,1133.02,6,14434
Egor,1,725.77,5,14434
fagu,2,1113.13,7,14434
Rizvanov_de_xXx,1,1709.03,1,14514
luchik,2,1494.98,1,14514
Petr,1,1676.47,2,14514
Aleks,2,1476.6,2,14514
rng_58,1,1596.07,3,14514
Kostroma,2,1454.59,3,14514
ainu7,1,1589.89,4,14514
BurlakovNick,2,1450.74,4,14514
Egor,1,1555.49,5,14514
bdfhjk,2,1440.73,5,14514
Vasyl[alphacom],1,1165.4,1,14433
pararthshah,2,1443.48,1,14433
Petr,1,1063.99,2,14433
impossiblity,2,1373.27,2,14433
RRx,1,1026.87,3,14433
fagu,2,1314.35,3,14433
Louty,1,1011.4,4,14433
ZUCC.Fake,2,1302.21,4,14433
rng_58,1,1010.1,5,14433
lzs,2,1265.63,5,14433
ahyangyi,1,1719.6,1,14531
Evernote_tc,1,1645.18,2,14531
volkhin,1,1598.28,3,14531
omeometo,1,1583.61,4,14531
hanxizhi_1994,1,1569.76,5,14531
vdave,1,1383.19,1,14530
jx_wuyi,1,1318.99,2,14530
gozman,1,1302.19,3,14530
mrc88,1,1279.15,4,14530
inazz,1,1271.73,5,14530
Petr,1,814.57,1,14435
igi,2,1147.56,1,14435
lyrically,1,706.28,2,14435
Can_I_find_you,2,1006.85,2,14435
LayCurse,1,705.43,3,14435
beam2d,2,796.34,3,14435
rng_58,1,694.35,4,14435
phead,2,776.88,4,14435
theycallhimtom,1,665.51,5,14435
nikollson,2,766.17,5,14435
tourist,1,1309.72,1,14437
unicef,2,1578.48,1,14437
lyrically,1,1216.74,2,14437
Lsdefine,2,1309.59,2,14437
redocpod,1,1214.56,3,14437
FunCoding,2,1178.99,3,14437
UdH-WiNGeR,1,1141.63,4,14437
kokopelli,2,1011.99,4,14437
theycallhimtom,1,1100.97,5,14437
ortschun,2,749.87,5,14437
Petr,1,871.34,1,14438
bcip,2,1448.22,1,14438
lyrically,1,738.6,2,14438
gyosh,2,1356.58,2,14438
marek.cygan,1,738.4,3,14438
iBet,2,1282.44,3,14438
wata,1,693.2,4,14438
loveqinqin,2,1271.33,4,14438
nika,1,674.16,5,14438
wasi.ahmed,2,1228.17,5,14438
rng_58,1,1493.48,1,14436
lnying,2,1152.87,1,14436
tourist,1,1323.13,2,14436
zeptometer,2,1081.1,2,14436
dzhulgakov,1,1204.95,3,14436
lintao,2,927.7,3,14436
UdH-WiNGeR,1,1164.84,4,14436
tinfish88,2,894.3,4,14436
serenade,1,1147.67,5,14436
Cronoss,2,829.52,5,14436
Petr,1,1185.39,1,14566
dzhulgakov,1,1159.54,2,14566
Egor,1,1151.41,3,14566
ACRush,1,1104.1,4,14566
kefir,1,841.91,5,14566
Petr,1,1802.09,1,14560
lyrically,1,1593.08,2,14560
bmerry,1,1551.28,3,14560
marek.cygan,1,1547.58,4,14560
dzhulgakov,1,1532.19,5,14560
RAD.,1,570.56,1,14439
grep,2,1482.21,1,14439
theycallhimtom,1,559.74,2,14439
KiraZ,2,1417.86,2,14439
ardiankp,1,556.01,3,14439
navidzolghadr,2,1191.87,3,14439
anrieff,1,552.56,4,14439
AndreyG,2,1174.2,4,14439
syco,1,549.67,5,14439
GaoYusong,2,1168.18,5,14439
dzhulgakov,1,1370.03,1,14567
marek.cygan,1,1224.8,2,14567
ACRush,1,1177.05,3,14567
Dlougach,1,1142.03,4,14567
Vasyl[alphacom],1,1133.91,5,14567
nika,1,607.49,1,14569
theycallhimtom,1,553.84,2,14569
ainu7,1,496.45,3,14569
A_A_Lunyov,1,445.68,4,14569
ACRush,1,444.87,5,14569
Petr,1,1268.1,1,14536
tonyjjw,2,1252.27,1,14536
neal_wu,1,901.97,2,14536
ManalSadek,2,1006.9,2,14536
wcao,1,900.9,3,14536
pfctgeorge,2,838.07,3,14536
liympanda,1,850.93,4,14536
Shubham_Gupta,2,799.18,4,14536
vlad89,1,829.96,5,14536
ydnl,2,751.28,5,14536
Vasyl[alphacom],1,1414.58,1,14537
aRSeniy,2,1673.45,1,14537
UdH-WiNGeR,1,1322.22,2,14537
cyph1e,2,1570.01,2,14537
bmerry,1,1280.69,3,14537
akgma,2,1502.2,3,14537
bwps,1,1233.11,4,14537
kamilsalas,2,1497.06,4,14537
rejudge,1,1134.76,5,14537
panzheyi,2,1443.34,5,14537
Petr,1,714.3,1,14568
a9108tc,1,686.8,2,14568
krijgertje,1,671.22,3,14568
shangjingbo,1,638.63,4,14568
UdH-WiNGeR,1,636.44,5,14568
Petr,1,1409.59,1,14538
fajrinazis,2,1379.07,1,14538
rejudge,1,1296.25,2,14538
jbctaka,2,1369.01,2,14538
Jedi_Knight,1,1228.14,3,14538
Roma1995,2,1339.58,3,14538
Waaagh2,1,1187.89,4,14538
StreetWalker,2,1312.57,4,14538
rng_58,1,1144.54,5,14538
not_,2,1299.95,5,14538
ainu7,1,1213.09,1,14539
exile,2,1244.69,1,14539
rng_58,1,1194.71,2,14539
BECEJIb4AK,2,1224.64,2,14539
nima.ahmadi,1,1094.31,3,14539
pjsdream,2,1116.81,3,14539
meret,1,948.3,4,14539
utkarshl,2,1112.02,4,14539
Blue.Mary,1,889.04,5,14539
gdiver,2,1105.53,5,14539
Petr,1,1328.41,1,14540
GHY,2,1160.91,1,14540
bmerry,1,1273.06,2,14540
bapcoi,2,1032.89,2,14540
rng_58,1,1174.02,3,14540
onigiri,2,771.84,3,14540
Sevenkplus,1,732.88,4,14540
demon_vader,2,719.68,5,14540
vlad89,1,690.03,5,14540
ISAP2012,2,690.27,6,14540
Petr,1,1162.3,1,14541
rajatag12,2,1473.2,1,14541
tourist,1,1155.08,2,14541
Try_to_try,2,1461.39,2,14541
wata,1,1138.89,3,14541
safariworld,2,1304.92,3,14541
rng_58,1,1111.14,4,14541
Moskupols,2,1258.06,4,14541
ilyakor,1,1021.57,5,14541
1guangnian,2,1203.04,5,14541
rejudge,1,788.78,1,14544
dragon007,2,1506.78,1,14544
jbernadas,1,767.61,2,14544
ik43131,2,1437.18,2,14544
vlad89,1,754.6,3,14544
Satayev,2,1424.46,3,14544
ainu7,1,721.56,4,14544
mikeCAT,2,1415.02,4,14544
shangjingbo,1,720.77,5,14544
bobloblaw,2,1384.66,5,14544
bozzball,1,1154.18,1,14543
whitecat,2,1630.32,1,14543
peter50216,1,1106.11,2,14543
naokiri,2,1629.37,2,14543
espr1t,1,782.89,3,14543
xkszltl,2,1610.23,3,14543
Burunduk1,1,739.65,4,14543
P.Komisarski,2,1592.96,4,14543
Egor,1,738.37,5,14543
macrocosm,2,1590.03,5,14543
[[iwi]],1,575.32,1,14650
rng_58,1,464.73,2,14650
ACRush,1,386.23,3,14650
unbing,1,250.09,4,14650
nika,1,239.26,5,14650
mikhailOK,1,477.09,1,14651
nika,1,467.15,2,14651
Kankuro,1,422.35,3,14651
marek.cygan,1,348.63,4,14651
Petr,1,250.87,5,14651
tourist,1,1437.5,1,14542
idy,2,1224.33,1,14542
Petr,1,1399.06,2,14542
lzs,2,1151.3,2,14542
Jedi_Knight,1,1382.26,3,14542
vladii,2,1084.52,3,14542
nika,1,1047.5,4,14542
NSL,2,777.59,4,14542
OgieKako,1,894.24,5,14542
alno,2,776.03,5,14542
rng_58,1,623.23,1,14655
bmerry,1,515.35,2,14655
nika,1,507.61,3,14655
ACRush,1,432.78,4,14655
mikhailOK,1,389.1,5,14655
bmerry,1,1106.6,1,14649
lyrically,1,1088.37,2,14649
PaulJefferys,1,550.17,3,14649
marek.cygan,1,525.86,4,14649
Petr,1,508.99,5,14649
tourist,1,1399.31,1,14546
scottai,2,1862.97,1,14546
ACRush,1,1267.74,2,14546
RainbowDash,2,1623.24,2,14546
LayCurse,1,1240.99,3,14546
zpl1,2,1491.96,3,14546
Sigmar,1,1230.97,4,14546
chmx,2,1458.34,4,14546
lyrically,1,1174.36,5,14546
LiangYaxiong,2,1196.15,5,14546
Petr,1,1583.49,1,14551
pele,2,1399.37,1,14551
lovro,1,716.54,2,14551
Cheezer,2,1240.32,2,14551
exod40,1,665.66,3,14551
devils13,2,1144.4,3,14551
EbTech,1,625.38,4,14551
twds,2,1040.92,4,14551
Ra16bit,1,602.37,5,14551
yucenh,2,723.63,5,14551
Petr,1,1229.73,1,14547
naonao1234,2,1639.86,1,14547
Egor,1,1227.66,2,14547
williamljb,2,1601.34,2,14547
