status,solution_id,match_id,language,problem_id
Success,263396,13520,C++,10246
Success,20812309,13520,C++,8560
Success,21758810,13520,Java,10246
Success,15881985,13520,Java,8560
Success,22269671,13520,C#,10251
Success,22646424,13520,C++,10251
Success,8479262,13520,Java,10251
Success,22680787,13677,Java,7995
Success,22285847,13675,C++,7306
Success,19849563,13519,C++,10185
Success,22697421,13519,C++,10183
Success,22726957,13673,C#,2931
Success,11818890,13519,C#,10180
Success,22683060,13519,VB,10182
Success,22763059,13518,C#,10044
Success,10574855,13518,C#,10155
Success,22762672,13674,C#,2242
Success,22635942,13674,C++,2409
Success,22762672,13674,C#,2407
Success,10574855,13518,C#,8785
Success,7463124,13518,VB,10046
Success,10597114,13518,C++,8785
Success,22676038,13518,C#,10046
Success,22707084,13518,C++,10046
Success,15805598,13518,Java,8785
Success,8479262,13518,Java,10046
Success,22680787,13674,Java,2409
Success,22695732,13674,C++,2407
Success,22680787,13674,Java,2407
Success,22728986,13674,C++,2242
Success,22680787,13674,Java,2242
Success,22662189,13518,C++,10155
Success,15881985,13518,Java,10155
Success,22663192,13519,C#,10182
Success,22648908,13518,C++,10044
Success,22761052,13519,C++,10182
Success,301395,13518,Java,10044
Success,22748855,13519,Java,10182
Success,16063200,13673,C++,2931
Success,20287618,13673,Java,2931
Success,7446789,13519,C++,10180
Success,7213681,13519,Java,10180
Success,21372851,13519,Java,10183
Success,22728160,13675,Java,7306
Success,10574855,13517,C#,8066
Success,15781230,13517,VB,10196
Success,22726957,13673,C#,6208
Success,10574855,13515,C#,10174
Success,10574855,13516,C#,10095
Success,7463124,13517,VB,10146
Success,22658883,13673,C#,6226
Success,16063200,13673,C++,6226
Success,14768757,13517,C++,9894
Success,22683060,13514,VB,9966
Success,10574855,13516,C#,10117
Success,22683060,13516,VB,10118
Success,22669151,13515,C++,10172
Success,10574855,13516,C#,9834
Success,22511877,13516,C++,9834
Success,22746603,13516,C#,10118
Success,22690044,13516,C++,10118
Success,22704922,13516,Java,10118
Success,22758502,13515,Java,10172
Success,22263204,13516,C++,10117
Success,22654707,13516,Java,10117
Success,22754045,13514,C#,9966
Success,22681821,13514,Java,9966
Success,22626886,13514,C++,9966
Success,15881985,13517,Java,9894
Success,16058913,13517,C#,10146
Success,11994206,13517,C++,10146
Success,7446789,13516,C++,10095
Success,22689544,13516,Java,10095
Success,22721959,13517,Java,10146
Success,20287618,13673,Java,6208
Success,16063200,13673,C++,6208
Success,20812309,13515,C++,10174
Success,22654819,13515,Java,10174
Success,10574855,13517,C#,10196
Success,14970299,13517,C++,10196
Success,11829284,13517,Java,10196
Success,7502813,13517,C++,8066
Success,22664455,13517,Java,8066
Success,22663192,13515,C#,10176
Success,10574855,13515,C#,10170
Success,260828,13515,C#,10177
Success,22723672,13514,C++,9975
Success,10574855,13513,C#,10123
Success,15781230,13513,VB,10072
Success,10574855,13514,C#,9977
Success,15600311,13512,C#,10074
Success,10574855,13513,C#,10033
Success,10574855,13514,C#,9976
Success,22678534,13513,C++,10036
Success,22653720,13513,C++,10033
Success,22689544,13513,Java,10033
Success,22723036,13513,Java,10036
Success,20464007,13514,C++,9976
Success,8433628,13512,C++,10107
Success,22675302,13512,C++,10074
Success,20033610,13512,Java,10074
Success,14970299,13514,C++,9977
Success,7452866,13514,Java,9976
Success,22744138,13513,C#,10072
Success,22690044,13513,C++,10072
Success,22629322,13513,Java,10072
Success,251074,13513,C++,10123
Success,7452866,13513,Java,10123
Success,251074,13515,C++,10177
Success,19849563,13515,C++,10170
Success,22654707,13515,Java,10177
Success,22739533,13515,C++,10176
Success,22689544,13515,Java,10170
Success,22647580,13515,Java,10176
Success,22652615,13512,C#,9871
Success,11818890,13513,C#,9751
Success,15781230,13510,VB,10078
Success,9972947,13512,C#,10104
Success,10574855,13511,C#,9963
Success,22729750,13511,VB,9914
Success,7447213,13511,C#,9914
Success,22693352,13511,VB,10058
Success,11948829,13511,C#,10058
Success,260828,13511,C#,9917
Success,22683060,13512,VB,10105
Success,22750255,13511,C#,9916
Success,10574855,13511,C#,9915
Success,22722059,13509,C#,10073
Success,22629791,13509,Java,10073
Success,251074,13511,C++,9915
Success,22654093,13509,C++,10073
Success,7452866,13511,Java,9915
Success,20292244,13511,C++,9916
Success,8365685,13510,C++,10055
Success,22736920,13511,Java,9916
Success,15868491,13511,C++,9917
Success,15881985,13511,Java,9917
Success,296080,13512,C#,10105
Success,22740212,13512,C++,10105
