date,href,name
2004.04.15,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5079,TCCC '04 Wildcard
2004.04.15,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5078,TCCC '04 Semifinals 3
2004.04.15,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5077,TCCC '04 Semifinals 2
2004.04.15,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5076,TCCC '04 Semifinals 1
2004.04.06,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4770,SRM 190
2004.03.31,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4765,SRM 189
2004.03.25,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4760,SRM 188
2004.03.17,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5009,TCCC '04 Round 4
2004.03.16,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4755,SRM 187
2004.03.13,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4750,SRM 186
2004.03.10,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5008,TCCC '04 Round 3
2004.03.03,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5007,TCCC '04 Round 2
2004.03.01,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4745,SRM 185
2004.02.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5006,TCCC '04 Round 1
2004.02.23,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5004,TCCC '04 Qual. 5
2004.02.23,http://community.topcoder.com//stat?c=round_overview&er=5&rd=5003,TCCC '04 Qual. 4
2014.03.04,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15844,SRM 611
2014.02.25,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15843,SRM 610
2014.02.15,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15842,SRM 609
2014.02.07,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15841,SRM 608
2014.02.03,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15840,SRM 607
2014.01.29,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15839,SRM 606
2014.01.21,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15838,SRM 605
2014.01.11,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15837,SRM 604
2014.01.06,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15836,SRM 603
2013.12.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15820,SRM 602
2013.12.22,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15713,SRM 601
2013.12.15,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15828,SRM 600.5
2013.12.14,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15712,SRM 600
2013.12.04,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15711,SRM 599
2013.11.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15710,SRM 598
2013.11.20,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15709,SRM 597
2013.11.13,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15814,TCO13 Championship Round
2013.11.12,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15812,TCO13 Wildcard Round
2013.11.12,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15809,TCO13 Semifinal 2
2013.11.12,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15808,TCO13 Semifinal 1
2013.11.01,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15708,SRM 596
2013.10.24,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15707,SRM 595
2013.10.15,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15706,SRM 594
2013.10.05,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15705,SRM 593
2013.09.27,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15704,SRM 592
2013.09.16,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15703,SRM 591
2010.04.20,http://community.topcoder.com//stat?c=round_overview&er=5&rd=14183,Member SRM 468
2010.04.15,http://community.topcoder.com//stat?c=round_overview&er=5&rd=14151,SRM 467
2010.04.03,http://community.topcoder.com//stat?c=round_overview&er=5&rd=14150,SRM 466
2010.03.25,http://community.topcoder.com//stat?c=round_overview&er=5&rd=14182,Member SRM 465
2010.03.16,http://community.topcoder.com//stat?c=round_overview&er=5&rd=14149,SRM 464
2010.03.02,http://community.topcoder.com//stat?c=round_overview&er=5&rd=14148,SRM 463
2010.02.17,http://community.topcoder.com//stat?c=round_overview&er=5&rd=14147,SRM 462
2010.02.13,http://community.topcoder.com//stat?c=round_overview&er=5&rd=14181,Member SRM 461
2010.02.06,http://community.topcoder.com//stat?c=round_overview&er=5&rd=14146,SRM 460
2010.01.19,http://community.topcoder.com//stat?c=round_overview&er=5&rd=14145,SRM 459
2010.01.14,http://community.topcoder.com//stat?c=round_overview&er=5&rd=14180,Member SRM 458
